instance_number,objective,number_of_runways,landing_times,runway_assignment,objective_value
5,makespan,3,"[129.0, 187.0, 82.0, 85.0, 95.0, 109.0, 101.0, 100.0, 109.0, 122.0, 240.0, 224.0, 143.0, 135.0, 243.0, 300.0, 151.0, 151.0, 143.0, 162.0]","[2, 0, 1, 0, 0, 2, 2, 1, 0, 0, 2, 2, 1, 0, 2, 1, 1, 0, 0, 0]",300.0
6,penalty,1,"[0.0, 96.0, 192.0, 392.0, 464.0, 560.0, 760.0, 832.0, 1032.0, 1112.0, 1184.0, 1280.0, 1461.0, 1591.0, 1671.0, 1751.0, 1831.0, 1903.0, 1999.0, 2180.0, 2252.0, 2348.0, 2576.0, 2656.0, 2728.0, 2928.0, 2998.0, 3098.0, 3170.0, 3266.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24442.0
6,penalty,2,"[0.0, 79.0, 175.0, 204.0, 271.0, 320.0, 528.0, 635.0, 730.0, 810.0, 790.0, 920.0, 1046.0, 1276.0, 1136.0, 1166.0, 1233.0, 1642.0, 1738.0, 1770.0, 2074.0, 2170.0, 2259.0, 2427.0, 2481.0, 2679.0, 2883.0, 2982.0, 3046.0, 3091.0]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",554.0
6,penalty,3,"[0.0, 79.0, 144.0, 204.0, 264.0, 320.0, 528.0, 635.0, 730.0, 766.0, 790.0, 920.0, 1046.0, 1106.0, 1136.0, 1166.0, 1233.0, 1642.0, 1715.0, 1770.0, 2074.0, 2168.0, 2259.0, 2427.0, 2481.0, 2679.0, 2883.0, 2982.0, 3046.0, 3091.0]","[0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 1, 1, 0, 2, 1, 0, 2, 1, 0, 2, 0, 2, 0, 1]",0.0
6,total_time,1,"[0.0, 96.0, 192.0, 392.0, 464.0, 560.0, 760.0, 832.0, 1032.0, 1112.0, 1184.0, 1280.0, 1461.0, 1591.0, 1671.0, 1751.0, 1831.0, 1903.0, 1999.0, 2180.0, 2252.0, 2348.0, 2576.0, 2656.0, 2728.0, 2928.0, 2998.0, 3098.0, 3170.0, 3266.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50311.0
6,total_time,2,"[0.0, 79.0, 175.0, 204.0, 271.0, 320.0, 528.0, 635.0, 730.0, 810.0, 790.0, 920.0, 1046.0, 1148.0, 1146.0, 1226.0, 1233.0, 1642.0, 1738.0, 1770.0, 2074.0, 2170.0, 2259.0, 2427.0, 2481.0, 2679.0, 2883.0, 2982.0, 3046.0, 3091.0]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]",42503.0
6,total_time,3,"[0.0, 79.0, 144.0, 204.0, 264.0, 320.0, 528.0, 635.0, 730.0, 766.0, 790.0, 920.0, 1046.0, 1106.0, 1136.0, 1166.0, 1233.0, 1642.0, 1715.0, 1770.0, 2074.0, 2168.0, 2259.0, 2427.0, 2481.0, 2679.0, 2883.0, 2982.0, 3046.0, 3091.0]","[0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 1, 1, 0, 2, 1, 0, 2, 1, 0, 2, 0, 2, 0, 1]",42284.0
6,makespan,1,"[0.0, 96.0, 192.0, 392.0, 464.0, 560.0, 760.0, 832.0, 1032.0, 1112.0, 1184.0, 1280.0, 1461.0, 1591.0, 1671.0, 1751.0, 1831.0, 1903.0, 1999.0, 2180.0, 2252.0, 2348.0, 2576.0, 2656.0, 2728.0, 2928.0, 2998.0, 3098.0, 3170.0, 3266.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3266.0
6,makespan,2,"[0.0, 79.0, 144.0, 279.0, 351.0, 320.0, 551.0, 730.0, 730.0, 920.0, 992.0, 920.0, 1413.0, 1343.0, 1313.0, 1233.0, 1233.0, 1842.0, 1842.0, 1770.0, 2168.0, 2168.0, 2396.0, 2481.0, 2481.0, 2681.0, 2883.0, 2983.0, 3091.0, 3091.0]","[0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",3091.0
6,makespan,3,"[0.0, 79.0, 144.0, 204.0, 320.0, 320.0, 528.0, 635.0, 730.0, 766.0, 790.0, 920.0, 1046.0, 1106.0, 1136.0, 1166.0, 1233.0, 1642.0, 1715.0, 1770.0, 2074.0, 2168.0, 2259.0, 2427.0, 2481.0, 2679.0, 2883.0, 2983.0, 3046.0, 3091.0]","[0, 2, 1, 0, 2, 0, 2, 0, 2, 1, 0, 2, 0, 1, 2, 0, 2, 2, 0, 1, 1, 2, 0, 2, 1, 2, 0, 0, 1, 2]",3091.0
7,penalty,1,"[0.0, 96.0, 296.0, 376.0, 456.0, 528.0, 624.0, 720.0, 920.0, 992.0, 1192.0, 1264.0, 1464.0, 1544.0, 1616.0, 1816.0, 1896.0, 1968.0, 2168.0, 2248.0, 2320.0, 2416.0, 2616.0, 2688.0, 2888.0, 2968.0, 3048.0, 3128.0, 3200.0, 3296.0, 3496.0, 3568.0, 3768.0, 3840.0, 3936.0, 4136.0, 4216.0, 4296.0, 4368.0, 4464.0, 4560.0, 4656.0, 4752.0, 4952.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1550.0
7,penalty,2,"[0.0, 137.0, 271.0, 351.0, 431.0, 503.0, 626.0, 727.0, 895.0, 967.0, 1167.0, 1239.0, 1439.0, 1519.0, 1591.0, 1791.0, 1871.0, 1943.0, 2143.0, 2223.0, 2295.0, 2391.0, 2591.0, 2663.0, 2863.0, 2943.0, 3023.0, 3103.0, 3175.0, 3271.0, 3471.0, 3543.0, 3743.0, 3815.0, 3911.0, 4111.0, 4191.0, 4271.0, 4343.0, 4439.0, 4535.0, 4631.0, 4727.0, 4927.0]","[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1]",0.0
